Abundances (Grouped): 126,Abundances (Grouped): 127,Abundances (Grouped): 128,Abundances (Grouped): 129,Abundances (Grouped): 130,Abundances (Grouped): 131
143400,121100,145700,129700,133900,142400
143400,187000,165100,162000,138900,165700
143600,126000,119700,136700,167900,164800
144100,155800,139400,175400,188800,193700
144300,149600,149000,155200,150100,156900
144400,141700,140300,140500,141300,151400
144500,149700,159800,143700,155700,180100
144500,143900,147100,202600,226300,252900
144900,160400,147900,146500,152200,144500
145200,135600,149100,162200,146500,166800
145300,160900,139400,147500,163500,132800
145300,161700,149200,156500,167400,153200
145600,152000,150300,176100,185000,198100
145900,141600,130500,162800,191100,196000
146100,135600,158400,162800,159800,171900
146500,124100,141200,122600,146900,123900
146600,147400,155300,208600,225000,215700
146800,122700,135800,177400,179500,169600
146800,165300,138000,162400,180000,166600
146900,139200,190400,201600,265200,289900
147000,183900,164800,159100,152500,137100
147100,182300,168500,168400,153300,161700
147200,142600,151900,143300,158000,150200
147500,149900,154100,152600,156900,149400
148100,143100,157700,199900,193400,191900
148200,147100,143200,145000,159200,160900
148300,138800,159000,147700,159200,164000
148300,142300,156200,140900,159800,163100
148300,139200,143700,138000,165800,141600
148300,134200,133500,181200,184600,216700
148500,150400,148800,129900,171300,142700
148500,159400,179200,146700,181200,194800
148600,105100,137400,113800,160600,164900
148800,156000,150500,170800,156600,161300
149100,134900,142500,138300,168700,169700
149100,139300,138300,144200,146300,151400
149100,122700,144100,146500,146400,148400
149500,164600,140200,137100,159700,139600
149700,145300,139600,159200,131700,138000
150600,154600,146300,149200,158200,141200
151100,181400,164700,157900,153300,161800
151200,151800,145200,153400,157400,143700
152200,145700,148100,160500,160800,166800
152300,152700,151300,166700,173600,170600
152400,150600,157200,177300,187500,195000
152400,149900,154400,129200,145800,157300
152600,168800,193600,127400,171900,180100
152900,145800,173800,158100,182100,197800
153000,160400,151300,147300,161000,159200
153000,146500,181800,174500,193700,183400
153300,165600,164400,157000,157200,172500
153400,136300,127100,126000,144800,157500
153500,189100,171800,164200,173800,150500
153500,140400,146100,149600,145100,144300
153600,158100,153900,143800,143600,146300
153900,154200,151400,160100,168000,174200
154000,157300,151900,149300,155200,165800
154400,149100,152500,197900,204700,206100
154500,175800,162000,178800,146500,176100
154700,147800,162500,155700,161200,164700
154900,151100,142600,143700,145100,134300
155200,146200,152100,148700,159400,152900
155300,128300,152900,158700,164900,157400
155400,147400,157900,151400,135700,160400
155400,115800,127200,155100,175500,156500
155400,175100,185900,177700,218300,212500
155400,138800,151800,153400,171900,159300
155400,151900,177300,152700,158600,162400
155600,176300,174600,151800,188400,182400
155700,151700,149700,167700,164800,168700
155800,150000,174600,272900,271800,276700
155900,139300,161900,138900,160500,158400
156500,160100,190000,202300,227600,235300
156600,168800,188200,177600,179700,165300
156700,133600,146900,138500,155500,156300
