Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3, 
ND,ND,ND,0.5862,0.4261,-0.7682,ND,ND,ND,-0.8452,0.2634,0.2660,
ND,ND,ND,0.1279,ND,ND,ND,ND,ND,0.7843,ND,ND,
-0.1467,ND,-0.1773,ND,ND,ND,-0.2414,ND,-0.2126,ND,ND,ND,
-0.1557,0.2750,0.1563,ND,ND,ND,0.5965,0.4114,0.2355,ND,ND,ND,
-0.1354,0.3728,0.3658,ND,ND,ND,0.2294,0.3578,0.2569,ND,ND,ND,
ND,0.2318,0.1288,0.3400,ND,0.1473,ND,0.4546,0.1262,0.4415,ND,0.3442,
ND,ND,ND,ND,-0.5498,0.1376,ND,ND,ND,ND,-0.1524,0.1453,
0.2247,ND,0.2255,0.2392,0.3220,0.1922,0.2647,ND,-0.1356,0.1916,0.2146,0.1467,
0.7151,0.2767,0.1837,-0.6955,0.3413,0.3469,0.1352,0.1587,0.3996,0.2513,-0.2517,0.4377,
ND,ND,ND,0.1164,-0.2366,0.3282,ND,ND,ND,0.3540,-0.4444,0.4812,
ND,ND,ND,0.1837,-0.6557,0.8431,ND,ND,ND,0.7789,0.6815,0.1655,
0.2300,0.5363,0.4643,-0.6287,0.1689,ND,0.1918,0.5285,-0.3934,0.2157,0.3532,ND,
0.1835,0.7298,0.1466,ND,ND,ND,0.1484,0.3458,0.2675,ND,ND,ND,
-0.7842,0.4766,0.1268,ND,ND,ND,-0.4138,0.2478,0.3486,ND,ND,ND,
ND,ND,ND,0.7127,0.1333,ND,ND,ND,ND,-0.2976,0.2644,ND,
ND,ND,0.2675,ND,ND,ND,ND,ND,-0.2946,ND,ND,ND,
-0.2867,0.2849,0.5335,ND,ND,ND,0.3463,-0.2945,0.5888,ND,ND,ND,
ND,ND,ND,0.2998,0.4627,ND,ND,ND,ND,0.6484,0.5140,ND,
0.2300,0.5416,0.7134,ND,ND,ND,-0.1326,0.5245,0.3838,ND,ND,ND,
ND,ND,ND,0.3295,ND,ND,ND,ND,ND,0.2388,ND,ND,
ND,-0.1718,0.4121,0.3937,0.3795,-0.1254,ND,-0.2595,-0.5486,0.1648,0.4829,-0.1328,
0.7441,0.6872,ND,-0.3879,ND,ND,-0.9936,0.4611,ND,-0.2352,ND,ND,
ND,ND,-0.4877,ND,ND,ND,ND,ND,0.2296,ND,ND,ND,
ND,-0.7874,0.7897,0.2533,ND,-0.4219,ND,0.8387,0.2882,0.1474,ND,0.1526,
-0.3657,-0.6222,0.7224,0.5813,ND,ND,0.5200,-0.4787,0.8349,-0.4252,ND,ND,
0.2375,0.3258,0.6315,ND,0.5172,ND,0.4147,0.3453,0.5237,ND,0.4226,ND,
0.3396,-0.2972,0.1675,0.2848,-0.1241,0.1241,0.2418,0.3555,-0.1189,0.1685,0.1912,0.4167,
ND,-0.3855,0.1649,ND,ND,ND,ND,-0.1538,1.4663,ND,ND,ND,
0.1858,0.3469,0.1726,ND,ND,ND,0.3885,0.4795,-0.1992,ND,ND,ND,
-0.4287,ND,ND,ND,ND,ND,0.9251,ND,ND,ND,ND,ND,
ND,ND,0.4153,ND,ND,ND,ND,ND,1.1115,ND,ND,ND,
0.5722,-0.1243,0.6216,ND,ND,ND,0.2343,0.2596,-0.2334,ND,ND,ND,
ND,ND,ND,0.3976,ND,0.2136,ND,ND,ND,0.2291,ND,-0.4126,
ND,ND,ND,0.2693,ND,0.8153,ND,ND,ND,0.1835,ND,0.2132,
ND,ND,0.6912,ND,ND,ND,ND,ND,1.9544,ND,ND,ND,
ND,ND,0.5246,0.1129,0.2612,0.1571,ND,ND,0.7884,0.1630,0.5348,0.9795,
ND,ND,ND,ND,0.2639,ND,ND,ND,ND,ND,0.2699,ND,
ND,ND,ND,0.6189,ND,0.1378,ND,ND,ND,0.1164,ND,-0.4765,
ND,-0.3386,ND,0.1272,-0.6449,0.1243,ND,-0.1682,ND,-0.6456,0.6472,0.1713,
ND,ND,ND,0.2155,0.1150,0.8960,ND,ND,ND,0.7333,0.2324,0.1316,
ND,-0.3845,0.5718,0.7159,0.1555,0.4177,ND,-0.1476,0.1986,0.1657,0.1388,0.6668,
