Raw Abundance 35,Raw Abundance 45,Raw Abundance 50,Raw Abundance 55,Raw Abundance 60,Raw Abundance 75
2188.4,2495.6,1774.1,745.6,489.7,166.2
15454.6,13881.1,13566.1,6398.6,4562.7,2575.4
13484,14143.6,12654.8,7605.2,3150.5,800.2
53811.9,60305,52768.8,34266.4,19436.6,4510.2
164079,178464.6,136974.5,48008.1,31311.8,9611.8
69479.9,70873.2,67451.2,30113.7,15774,5044.1
95210.8,100827.2,78041.3,33282.8,22792,5445.8
2330.9,2069.2,2040.3,957.8,571.1,342
43191.1,46367.5,40666.9,22533.1,15757.7,4661.3
120801.9,124982.4,117756.9,73550.7,60284.9,8980.4
753.5,1088.7,978.2,562.8,532,370.2
12260.4,13591.1,12694.6,6584.7,5242.2,3114.4
49764.2,55716.6,52045.3,27526.6,26787.3,20333.2
212845.6,221922.8,179741.6,58229.7,38435.9,12023.1
215108.3,230232.8,195436,61853,40987.9,13665.9
155240.2,155821.8,131737,48012.1,35121.5,12195.6
844.6,880.5,802.6,399.4,233.2,127.5
66953.9,74964.5,66752.3,41150.6,33235.8,4978.2
2553.6,2857.2,2298.5,1072.6,729.5,243.9
211329.8,228486.4,214515.6,146515,72966.8,14709.2
147222.9,156114.6,143380.2,107328.4,109970.6,68341.9
2052.3,1797.3,2121.5,1212.5,1040.9,637.6
1490.6,1471.7,1065.7,672.3,510.6,176
28266.2,30740.5,23487,8880.5,5726.4,2025.3
15569.5,16631.6,15053.8,10409.4,10542.7,1971.3
4590.4,4245.4,3892,1643.7,1325.8,619
729.4,730.7,865.9,496.4,376.9,208.9
667.7,605.7,654.6,433.5,432.1,308.6
3514.4,4288.9,3548.4,1925.3,1708.2,1171.5
71414.7,78856.1,68189,45628.6,45359.7,8413.5
360.7,333.4,323.3,162.6,94,42.2
15473.3,16385.8,19198.1,10282.9,7409.8,1929.9
25393.8,27462.3,29686.3,15798.7,12069.2,4456.5
119767.6,123787,142142.2,67175.5,41989.3,9531.2
143230.6,149868.6,172202.3,94425.7,51186.4,11925.5
14268.2,14692.5,17431.5,13639,17015.1,12515
6233.7,6102.8,6780.6,5178.7,6167.2,5840.6
3293.3,3765.2,4418.4,2608.2,1919.2,1008.9
5367.6,5436.2,6074.4,4676.4,4480.4,3889.4
1642,1581.6,1866.2,855.3,657.1,178.6
6458.9,10177.4,9954.9,4336.9,2622.3,726.8
19672,20444.5,23544.6,11094.5,7984.9,2277.4
1515.5,1638.2,1894.3,1577.1,2011.5,1575.6
2499.2,2759.1,3221.7,1893.6,1718.1,1118.5
943.7,1279.5,1421.1,948.9,1066.4,729
2430.9,2456.6,2276.6,1342.8,947.1,229.5
359148,347146.1,287315.1,102701,65013.3,19286.2
223380.1,217581,178618.5,66751.3,42870.1,13876.8
8794.4,9794.8,8040.3,3601.3,2592.9,975.3
4976.7,4989.2,4203.3,1633.9,1092,388.9
10283.4,10840.1,9803.7,5347.7,3512.8,1883.2
