Reporter.intensity.0,Reporter.intensity.1,Reporter.intensity.2,Reporter.intensity.3,Reporter.intensity.4,Reporter.intensity.5,Reporter.intensity.6,Reporter.intensity.7,Reporter.intensity.8,Reporter.intensity.9
122081,159233,128617,138321,135892,171496,122278,132290,132724,158567
84217,109792,131854,147782,98312,100657,89552,151734,100190,100301
86814,126217,174633,165689,143470,130640,93797,171007,140735,126054
7139,14816,6869,8967,9114,15302,8389,9644,8492,13627
612887,543791,813817,586509,775837,468363,638448,593684,747071,466161
2265,2624,2083,2170,3037,1990,2222,1997,2280,1451
33913,59759,43634,72621,47421,58133,36908,77829,45185,56880
26531,29393,17040,24856,67208,32617,26847,21507,60957,25397
532072,587333,550590,561730,483951,584574,494550,511272,466491,560871
1008943,815233,1231932,1217362,926775,946178,1012031,1209286,866907,928211
