Abundance Sample AM 36_1 (FFPE),Abundance Sample AM 36_3 (FFPE),Abundance Sample AM 37_1 (FFPE),Abundance Sample AM 37_2 (FFPE),Abundance Sample AM 36_4 (FF),Abundance Sample AM 36_5 (FF),,,,,,,,,
24022771.69,6258962.813,13692715.19,12912137.38,8134493.406,6744405.5,,,,,,,,,
3684104.25,7509964.25,32476459.75,54105100.5,42015819,34742985.13,,,,,,,,,
1378293.625,2044102.625,1495603.25,3139438,9691549.625,2739385,,,,,,,,,
29099775.56,30792942.63,18239479.81,31204129.59,39848040.69,46190943.91,,,,,,,,,
10129684.81,17540926.31,10906746.03,14169443.88,173343370.8,142545911.9,,,,,,,,,
1987132,3967244.5,0,0,8564145.25,0,,,,,,,,,
2271412,5191580.5,0,0,16075098,23132019,,,,,,,,,
1660487.5,1716885.125,0,0,0,0,,,,,,,,,
1362349.875,2882785.375,0,0,57411873.38,23886301.97,,,,,,,,,
6346575,4852374.75,0,5472782,11397785.31,7149528.625,,,,,,,,,
41392849.97,39775821.23,32309168.5,67707095.25,119630026.6,95051770.94,,,,,,,,,
2075646.625,1525104.125,0,2187764.75,28081341.63,1489993.313,,,,,,,,,
2925377.813,12431774.5,4481656.125,2682631.25,7609620.25,16911006.94,,,,,,,,,
14276031.44,46608056.13,14825268.94,50437243.75,92855760.31,82067742.19,,,,,,,,,
5840636.375,16750752.88,3727869.063,20720398.5,132085431.9,71754958,,,,,,,,,
4824885.75,4085973,0,1592470.625,787062.875,804327.625,,,,,,,,,
20031759.88,29583442.75,16057159.63,7033612,28571326.75,13305046,,,,,,,,,
23111527.31,23598807.06,26841798.59,65928526.78,83884788,77057785.7,,,,,,,,,
750469.25,5489453.5,992245.3125,0,4579634.625,1543183.5,,,,,,,,,
28716780.75,15749212.38,101634105.8,133879743.4,62436977.38,73514300.14,,,,,,,,,
434195.6875,1284244.125,0,2035941.25,3865912.25,1179752.875,,,,,,,,,
65720626.75,61694722.13,10693040.5,0,24775709.63,7589879,,,,,,,,,
4298558,4969955,9041155.125,13019532.5,3829626.75,13332667.25,,,,,,,,,
51737566.38,104903589.2,24800564.56,155780072,210297194,121673342.4,,,,,,,,,
8853258.5,10871567.75,7427837.5,26536125.5,36742228.5,24850694.5,,,,,,,,,
803881.6875,766968.0625,0,0,1456583.063,0,,,,,,,,,
11011671.25,16591778.5,50313358.5,68210451.75,99385192.88,69607768,,,,,,,,,
701043673.8,651019836.8,246210916.6,410276886.3,873128345.6,651334276.1,,,,,,,,,
6999468.688,8956945.125,16181886.06,12146950.03,25844970.88,30270935.94,,,,,,,,,
6419823,2311370,7244515.188,10540443.22,14260413.69,9962042.625,,,,,,,,,
3032294.25,7554736.844,16096874.88,5523925.625,19996212.88,16341660.25,,,,,,,,,
38798548.44,86143959.41,136075722.6,207119237.2,222485841.3,194909239.1,,,,,,,,,
1334687.5,2112036.25,0,2612509,4088876.25,0,,,,,,,,,
8897955.875,9963387.406,10093022.94,8364360.75,23265792.63,13965134.38,,,,,,,,,
2387766,4250966.5,7349378.375,8789272.375,22373658.63,16026553.75,,,,,,,,,
9589026,11841157.13,10165240,7414625.875,14248432.13,8638561.875,,,,,,,,,
17642359.63,21983502,28925036,46317136,34789991.75,28620503.88,,,,,,,,,
1122405.75,0,0,1878695.25,0,0,,,,,,,,,
13502911,5411725.875,23622517.5,8713851.75,9468830.25,15552770.19,,,,,,,,,
36548611.75,27558497.38,28306402,43714129,62261923.25,36870852.75,,,,,,,,,
55454138.38,49125569.63,23185484.56,46831706.88,52189905.75,27227260.88,,,,,,,,,
888387257,686037256.3,1082707790,1933082438,1627358722,1136170521,,,,,,,,,
798390.875,0,0,0,0,290194.0938,,,,,,,,,
2205364.75,4894406.5,0,6284140.5,0,0,,,,,,,,,
4375445,1321123.125,0,3252672.75,2735277.688,694971.0625,,,,,,,,,
12073059.5,4856590.5,0,8049377.5,9353797.5,6330364,,,,,,,,,
25268242.94,26892941.66,21127531.13,33027238.94,153931233.6,126312575.6,,,,,,,,,
10789062,23880897.5,17515333.38,18147882.78,67000118.25,42533105,,,,,,,,,
419027,697458.0625,0,0,7102268.438,4668027.875,,,,,,,,,
5677116.938,0,2642501.688,0,3417077.063,0,,,,,,,,,
2625825,0,13311594.5,6009220.5,21397115,8452379.5,,,,,,,,,
4618365.5,2222536.75,19314182.5,22575617.88,9264724.5,8035176,,,,,,,,,
1173108548,1177718702,1101540127,1566384303,1238562410,1242323228,,,,,,,,,
1924160.906,5193998.375,0,7370154.5,618360.7344,2009702.813,,,,,,,,,
1553229.125,0,3247798.438,8586406.25,2087505.75,1202444.625,,,,,,,,,
1580860.75,5812316.125,2495982.25,3708198.75,0,5737514,,,,,,,,,
10798643.5,9147672,1417450.75,1129613.625,3099003.25,7165802.75,,,,,,,,,
61467914.63,61332743.88,1932948.5,33915849.25,48449015.88,48071613.88,,,,,,,,,
27417331.88,31226291.13,11752774.81,45256953.22,24321815.63,11811636.5,,,,,,,,,
1840237.625,2880946.438,2594410.25,2734799.5,3774459.5,4315727.5,,,,,,,,,
1816391.25,5302575,2148221.75,11728812.75,1825244.5,1159674.5,,,,,,,,,
472006.0938,0,1958080.5,2450836,5544969.75,853076.875,,,,,,,,,
665781.125,0,2746990.875,1974961.688,5140037.188,7083531.75,,,,,,,,,
3345773.125,1545882.375,0,6975125.5,3573296.438,2406498.813,,,,,,,,,
16451829.25,13297473.38,12325105,25577866.13,22760931.88,15566998.88,,,,,,,,,
6404042,12046339,0,0,2451988.281,10900682.25,,,,,,,,,
737623.8125,9739742.5,5530659.125,4601337.375,8206498,13419167,,,,,,,,,
11481416.81,6292019,8488170.375,4807019.125,10089218.69,2174605.25,,,,,,,,,
4369105,6263390,8088582,14382833,0,3757219.75,,,,,,,,,
17781248.59,13370100.13,11918341.63,26323614.25,13841903.5,9036939.25,,,,,,,,,
2980018.5,10680492.25,0,1746824,6984986.25,5734835.125,,,,,,,,,
2770427.5,15713371.5,8126574,3369674.313,27048308,9811591.75,,,,,,,,,
471277.4375,0,0,674058.75,0,0,,,,,,,,,
3568245.5,4025023.25,2799026.5,0,877451.5625,3960441.5,,,,,,,,,
9766804.125,8305601.25,0,23547987,10613084.63,9423977.5,,,,,,,,,
6646206,4907576,11652372,10239728.5,11910477.13,5500000.375,,,,,,,,,
5180101,10007281.5,4801056,7666861.5,8471358,0,,,,,,,,,
1142502447,874795516.6,408027948.1,692793970.1,1162216991,874908763.1,,,,,,,,,
16154185.13,36531800.81,37789539.75,83888703.63,91113765.25,53558398.88,,,,,,,,,
3180959.313,1318841.75,4107990.75,0,9616757.75,6558489.375,,,,,,,,,
3786954.688,4347123.375,3276169,0,3389934,2710965,,,,,,,,,
