"Raw Abundance:127N, WT Rep1","Raw Abundance:127C, WT, Rep2","Raw Abundance:128N, WT Rep3","Raw Abundance:128C, pup2-ts Rep1","Raw Abundance:129N, pup2-ts Rep3","Raw Abundance:129C, pup2-ts Rep3","Raw Abundance:130N, rpn5-ts Rep1","Raw Abundance:130C, rpn5-ts Rep2","Raw Abundance:131, rpn5-ts Rep3"
8.4,15.1,23.2,39.9,21.9,25.4,28,27.5,24.6
12.2,17.2,18.6,19,14.3,14.9,12.8,15,13.2
13.2,17.3,27.1,40,26.2,39.8,37.1,36.4,32.5
13.3,19,22.7,21.4,16.8,18.6,20.1,19.5,18.8
37.9,22.2,22.1,27.8,17.7,21.7,18.6,15.9,12.6
19.3,24.4,28.7,23.2,14,16,18.7,14,11.8
26.5,33.9,31.6,30.4,19.5,27.2,26.6,21.2,19.9
16.2,29.7,55,282.3,92,215.1,214.9,232.3,198.4
28.7,30.3,35,44.4,29.6,33.3,35.8,41.9,32.1
30.4,29.3,38,52.7,31.4,42.8,34.9,37.6,26.6
31.4,19.2,67.9,111.1,51.3,72.4,69.4,70.6,55.3
29.2,34.4,41.9,28.7,23.9,23.6,19.8,14.7,14.7
38.4,31.8,41,69.6,52.1,55,62.7,67,49.6
33.8,42.6,46.7,57.1,30.5,42.6,47.4,59.5,35.4
39.3,43,57.6,42.7,27.4,31.2,23.4,29.9,21.6
44.8,41.4,49.1,71.9,37.1,55.5,53.4,51.3,45.5
27.5,44.9,63,47.1,42.8,42.6,48,48.6,33.6
26.2,52.1,53.3,243.3,47.2,169.7,133.5,143.8,126.7
30.9,47.6,61.2,58,45.2,49.7,43.4,42.5,32.5
35.3,49.8,64,71.9,57.7,51.3,77,65.7,49.9
61.4,48.5,57.8,25.5,15.2,18.1,15.3,19,14.9
63.4,47,58,58.5,32.9,39.5,39,43.7,33.1
42.6,52.5,59.6,52,32.6,32.5,38.7,38.9,24.8
50.5,54.8,71.3,46.7,33.8,35.3,30.4,29.3,31.4
51.7,43.1,63.1,114.7,48.7,75,116.1,109.4,84.8
50.2,57.6,102.7,232.1,69.7,134.9,157.5,131,99.2
43.9,58.2,74.7,61.7,39.3,44.7,52.4,55.1,43.4
55.9,49.2,69,48,38.6,40.7,38.8,34.7,34.9
52.3,61.4,110.4,200.7,78.7,141.6,141,158.3,124.3
49.8,62.4,105.3,107.7,70.3,78.6,83.4,78.7,67.1
60.3,60.7,75.4,54.9,31.7,36.3,41.9,42.5,35
52.4,75.1,73.5,41.3,31.7,25.5,30.3,27.3,24.4
57.6,68,75.2,47.5,34.2,31.7,30.4,30.6,33
77.7,67.4,69.3,48.3,32.7,34,38.3,36,27.5
63.5,61.8,89.4,52,42.6,41.7,40.5,42.9,32.6
59.2,68.8,78.1,50.5,38.1,33.3,38.1,43.3,27.6
56.8,75,81.4,83.4,68.3,65.9,79.4,66.7,44.5
67.8,79.3,74.5,75.2,43,57.5,57.1,52.4,37.9
63,91.2,85.3,65.9,56,58,50.3,57.9,49.2
63.6,82.3,87.3,50.4,51.3,38.8,33.1,31,22.2
67.6,77.3,124.5,112.8,45.2,73.1,113.9,115.5,71.8
75.6,62.4,91.1,70.7,52.2,49.1,44.2,42.1,42.8
60.4,81.9,107.9,83.7,64.8,60.1,59.6,53.2,54.1
50.8,84.7,149,111.1,76.6,68.7,77.9,81.3,66
82.1,26.4,202.5,51.8,44,30.6,23,23.1,16.4
101.3,90.6,91.7,62.3,61.3,36.5,38.2,40,31.1
102.7,99.9,95.5,74.8,52.2,49.3,38.7,44.9,38.1
115.3,94.1,118.1,106.1,96.7,93.5,86.7,103.4,63.7
84.1,104.7,119.8,82,71.7,63.5,80.1,71.8,65.6
188.7,106,115.8,58.6,49.3,46,54.4,50.2,38.7
103,114.4,116.1,113.7,77.6,94.6,80.2,79.1,73.1
76.3,111,141,95.5,61.1,67.1,73,78.2,62.4
108.5,99.6,129,111.4,86.2,79,81.2,84.2,63.4
85.7,117.2,129.4,91.6,64.7,73.2,74.2,76.1,53.7
62.1,115,130.4,70.4,74,60.7,50.1,54.4,47.3
111.7,111.3,132,109.4,59,73,70.6,62.3,55.5
123.9,114.6,132.1,113,74,85.1,73.4,85.7,62.3
76.7,117.5,148.8,106.1,77.3,81.5,126.1,129.1,108.3
113.2,110.6,151.9,102.9,95.7,89.6,106.4,103.3,64.7
104.3,123.9,162,148.6,82.9,95.7,101.6,100.5,94.5
100.2,133.1,154.1,99.2,51.1,56.5,96.1,84.7,74.7
146.9,130.1,156.3,115.3,61,54.9,45.6,48.7,42.7
