2A,3A,4A,5A,6A,7A,8A,9A,10A,1B,2B,3B,4B,5B,6B,7B,8B,9B
33702837.28,31058797.12,16042130.48,25071269.59,5137049.573,1152848.779,3519937.251,9430765.172,8483629.013,1612772.469,8994594.75,26815019.41,25416591.47,15785091.23,6404626.063,1970641.401,3940465.349,248834480.1
51339149.91,29184683.37,36304016.93,40542830.55,81628035.46,36656301.57,6125667.292,5782359.365,39075476.5,10100193.05,9537435.247,5248283.253,31895004.77,6582823.479,9476539.99,21805408.32,4779237.003,38383727.61
10536059.7,8560005,7595198.102,7789116.013,19185732.24,10564954.01,9703533.987,3355383.599,23908957.55,5553996.719,4154876.969,8875161.125,10346277.22,5776809.922,5173961.385,6199578.781,19266423.19,24835764.41
1982872.969,0,1689194.781,2659661.531,3484824.125,4880007.055,3514144.563,3188430.656,0,2638946.344,853939.4531,477068.0313,1215209.766,286321.0156,0,1600047.543,5498718.75,8541319.852
704796.1191,9353788.781,5259062.984,2977750.307,0,1648249.85,814681.3164,985940.3763,2464844.279,1123550.297,768914.085,1376517.969,936473.3613,0,1032934.828,1795056.533,4852295.271,2474709.922
4655274.215,6390899.755,4751480.216,7092793.438,21250305.25,10473613.76,2404413.254,3283216.383,14676545.9,1268405.781,2602671.578,1348142.977,10313484.59,3330954.276,4742478.125,9019153.047,7075816.25,27571165.16
0,0,0,2622965.375,1656811.281,4668993.51,2640321.094,1922807.484,6005877.813,2324642.844,0,0,1459046.5,2319392.423,1445184.813,2989554.875,3419252.536,2278672.969
30085485.64,28907936.63,17020535.13,23666359.28,21113585.81,28565122.26,12190452.32,6687645.792,18109392.73,2111320.668,17429895.99,5196098.289,20713203.52,11506525.73,11385469.96,13762167.49,17567684.28,46430379.71
0,0,0,0,0,0,0,0,0,4313825.297,0,0,0,0,0,0,0,0
0,1315040.375,1213156.188,1284844.094,3502349.758,5694033.438,481787.0469,1441820.969,6647427.25,714719.9863,0,0,0,0,0,2327190.531,0,1091294.547
1134667.063,3422821.133,1528338.156,2838698.875,1181947.188,1425325.625,0,2549205.375,3940589.714,739678.4375,0,4950493.375,3017843.063,3249086,696280.0156,6182993.555,1617979.469,2494513.406
11957038.39,15729172.96,16889778.96,17408034.52,14051341.81,35589035.99,4440628.82,7898373.755,16388415.7,1598885.978,4238018.177,2205223.57,9665400.068,6373127.177,4408438.444,7749736.365,8192808.495,21253664.08
5406342.938,4760977.063,0,3941855.625,0,0,0,0,0,963818.7109,0,0,0,0,0,0,0,414206.3828
15716355.97,13715254.17,9061598.932,10129631.07,19910580.6,15308069.15,1972325.677,3920285.219,15264382.46,1005526.563,6442394.057,1010196.094,12847882.06,3492277.411,9162928.161,26364190.09,4161200.953,8489723.453
1522332.363,5170525.703,3294043.289,3695835.984,2911766.469,481367.1465,0,668233.7305,5225399.238,69853.95898,1649400.672,1119905.234,5307604.479,710106.8848,1286286.328,593517.7129,380692.8125,1150024.855
20237444.28,18061705.16,12710909.48,35558873.5,6144659.252,33317126.79,54931924.56,12163817.72,7415390.141,2878059.891,12528551.34,3245149.164,26171609.13,16469136.53,8115661.99,31170867.74,14591519.11,40544723.1
10712657.55,4569977.555,7594976.508,9346016.677,8088067.182,43945283.53,29123119.87,185603939.7,81169946.54,3677958.432,4813368.01,2907310.625,18632470.2,6902777.888,14847955.65,16290522.56,158430498.8,101607175.7
86646153.27,94085524.43,85151612.36,34841060.26,5249264.909,38704269.3,30612624.3,16277774.82,9560808.503,5646424.125,13959302.84,5907619.576,35770001.52,11604683.01,20007604.51,33954053.26,15316648.23,35336511.71
5223599.208,9493358.906,6597706.391,8661726,11900046.72,2736307.339,1196955.555,3216517.844,10277908.43,4493460.918,4493460.918,5933526.438,4545578.917,5413701.25,2558044.547,2367107.438,3090401.543,7545866.292
8186544.5,8615827.703,4898471.701,3760231.66,10325169.45,5575877.573,0,1492019.852,2826583.391,7335867.785,1312383.188,1685310.531,8625425.219,3393576.313,4052950.813,4444281.281,4993211.125,30179803.81
4881394.052,5596905.605,3663696.109,3471570.102,12866805.28,7287808.651,185179.7813,2651732.031,9457377.573,1013963.938,1089175.609,0,1466710.547,0,2525785.594,4387746.219,2295147.613,5952155.547
0,0,0,2006197.06,0,2944084.938,0,1220247.719,1854258.523,5197273.375,1498998.242,2155184.485,1639146.242,2155184.485,243192.0547,1154452.109,2586090.25,2767139.125
6322779.115,4322410.396,1229076.428,3806070.77,4309458.104,0,0,1773202.047,6546225.792,5688410.58,5688410.58,0,5338817.578,3806641.969,4317008.477,5067624.875,0,9911960
4569376.844,6174777.188,4113975.5,3433658.5,4487536.794,5750855.875,0,2240472.823,4487620.906,2463870.531,1067800.063,1120789.031,0,0,1652153.047,2607664.594,0,2598685.766
16350438.31,25143198.83,42130563.74,57786740.48,27243777.48,78551898.72,16492635.81,4234972.453,22750620.05,11337539.17,11004226.39,19703369.89,54047418.5,6005787.755,12316621.66,55206861.94,30729860.77,64237285.48
11630901.25,13501596.05,25889725.27,44082387.76,29451633.03,51280361.03,9559828.982,4300412.337,9433058.455,12107715.06,4015843.74,10044203.3,19113506.15,5597169.724,4839223.109,31602164.94,18389794.9,33586169.33
1506663.651,17316710.23,1944619.469,10549168.87,1917623.297,19383384.65,8754163.245,31106461.97,63371596.65,1074159.281,1085503.281,1362954.75,4808507.677,0,1338420.156,6323937.112,67944067.52,15780657.35
1893879.188,7603766.5,2182433.906,0,2236635.047,0,0,0,4760975.794,3075112.716,2025003.75,4396953.297,0,3191082.375,3075112.716,3069378.25,0,2693145.91
0,0,0,0,0,0,0,0,1403455.468,206182.9941,0,0,0,0,0,0,601877.0469,0
2908901.898,2992084.844,4178707.617,10669566.9,2886364.688,34512664.79,4099125.594,580093.8984,4308774.531,1359268.656,6218233.468,1608341.831,780983.9688,1052765.391,6218233.468,24969756.68,3457781.688,10298736.06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
