TMT-126,TMT-127,TMT-127,TMT-128,TMT-128,TMT-129,TMT-129,TMT-130,TMT-130,TMT-131
271603.4417,228717.5435,3548974.67,3288863.899,651700.8657,751268.351,3125317.539,3188424.999,1597394.183,1595535.428
494653.5453,406442.3824,5874471.909,6302996.395,984128.3391,1241884.373,5364729.066,5912704.751,2506536.536,3244800.582
4928124.072,4019388.312,54970520.09,55462044.03,10854876.11,12249865.56,49910857.79,54448743.07,24892750.95,28001529.7
73447.89765,84213.43616,847813.7388,826104.3295,138985.4387,199090.6206,771863.0653,845552.6472,378861.6351,418805.5519
48247302.6,39085573.84,584745360.5,560023715.5,93746095.51,114666708,498059455.3,533976302.9,249272744.2,285065158.1
203494.6187,209066.6596,2346701.944,2332422.546,390856.7537,539127.478,2149991.07,2311990.514,1053674,1186430.998
2931893.267,1947394.102,33778000.79,33963727.49,5451404.93,6443956.986,29011136.9,33252981.02,14793386.23,16262910.28
1399062.303,1356764.293,15077896.73,15714368.01,2698063.353,3370144.316,13803128.09,15395128.19,6862820.217,7687092.381
285638.1151,250387.5438,3431990.622,3201927.945,602396.8478,717243.9486,3021273.189,3393949.342,1534976.05,1651772.775
162269.8112,152268.0869,2024945.381,2012171.269,347074.6813,394278.8923,1865713.154,2139400.459,955611.5017,1016609.723
607593.3378,624790.8026,7017678.353,8079171.24,672253.6217,1831374.614,6200940.984,7972604.648,3272624.923,4161608.676
453120.0598,230707.235,5740720.158,5287460.227,1094722.73,917624.9434,5103926.686,5049113.192,2447764.097,2424670.372
580103.6018,410048.5243,6248489.979,6573647.075,1093025.259,1128299.072,5366251.062,6542921.029,2824602.84,3170872.078
82085.23458,85835.11609,1053775.62,976479.061,198975.4675,242939.2934,962621.132,1019457.066,457977.786,570023.8503
10342787.03,9192524.317,119702364.9,121912287.4,22010262.08,24867902.34,106699486.3,118476405.6,53720023.9,57950804.64
13870874.65,11135692.12,168421566.2,158415318.2,25087332.94,34121343.19,140536113.4,151539773.3,70166696.93,78037150.24
712004.7851,549397.7584,6412168.269,6747628.553,1193880.963,1486108.559,5712970.117,6517040.341,3082675.353,3312130.011
126060.1186,73012.43421,1334794.16,1285316.651,266319.7043,271999.2405,1198245.674,1349142.784,621211.6442,615227.6647
148853.9296,141554.5775,1655037.878,1679806.229,312839.1748,414853.9623,1420607.906,1582600.31,727442.8191,840575.2359
22527.81046,40744.26515,328518.3064,483577.25,57970.45833,137428.9191,282860.7789,455944.0437,156202.2835,290763.8675
308506300.3,228806347.9,3568218820,3422674721,574497118.7,687967135.9,2997193659,3214824584,1540159767,1691345332
459463.3035,380838.578,5304887.666,5095551.984,870160.0366,1064703.063,4730838.036,5133125.206,2304338.189,2570649.375
