Intensity Rep #1,Intensity L Rep #1,Intensity H Rep #1,Intensity Rep #2,Intensity L Rep #2,Intensity H Rep #2,Intensity Rep #3,Intensity L Rep #3,Intensity H Rep #3
267570000,195470000,72093000,325260000,249670000,75591000,303350000,187920000,115420000
0,0,0,135190000,81991000,53201000,0,0,0
209650000,124150000,85506000,112420000,77939000,34483000,197440000,126810000,70628000
25775000,12432000,13343000,18180000,10664000,7516700,47143000,29076000,18067000
29742000,18587000,11155000,16365000,10500000,5865200,23914000,14938000,8975300
37512000,11360000,26152000,69935000,38256000,31679000,15985000,7537200,8447400
0,0,0,23018000,10173000,12845000,23510000,10471000,13040000
37943000,23923000,14020000,89069000,68262000,20807000,629050000,108880000,520170000
0,0,0,5222000,2234900,2987100,3840200,2559600,1280500
414250000,281000000,133260000,188650000,138140000,50517000,173290000,100760000,72530000
36606000,24955000,11651000,280130000,181570000,98560000,56339000,17164000,39176000
10289000,6502800,3786200,0,0,0,4473100000,333900000,4139200000
8883800,7027900,1855900,19196000,12631000,6564700,0,0,0
0,0,0,35122000,24103000,11019000,28844000,15422000,13422000
153990000,92514000,61473000,29175000,15749000,13427000,7163800,5364300,1799500
15193000,8668000,6525400,27330000,17019000,10311000,34059000,18358000,15701000
40436000,23371000,17065000,96144000,62812000,33332000,114490000,69071000,45420000
66799000,39531000,27268000,105750000,59140000,46607000,422160000,404810000,17351000
0,0,0,14682000,7738200,6943900,5503900,3285900,2218000
18209000,7504700,10705000,71567000,34400000,37167000,42919000,26243000,16676000
234750000,152900000,81845000,276020000,188340000,87679000,174750000,116570000,58178000
4556800000,2244400000,2312400000,5020800000,2506300000,2514500000,3759000000,2050600000,1708400000
438570000,279950000,158620000,446160000,262430000,183740000,357100000,214010000,143100000
140860000,84727000,56135000,398180000,238640000,159540000,195130000,117060000,78069000
521910000,324810000,197100000,472160000,264710000,207450000,967070000,597630000,369440000
26287000,19030000,7256200,31661000,24854000,6807100,17254000,10713000,6541100
81835000,44830000,37005000,235240000,111640000,123600000,318040000,158150000,159880000
168900000,80615000,88287000,65986000,33904000,32083000,88215000,29975000,58240000
57803000000,29342000000,28461000000,80480000000,40494000000,39987000000,55529000000,28506000000,27023000000
27689000000,15530000000,12160000000,36066000000,20034000000,16032000000,35099000000,19800000000,15299000000
65000000000,36471000000,28529000000,75450000000,41497000000,33953000000,68019000000,38033000000,29986000000
1162000000,788630000,373390000,714280000,447880000,266400000,869200000,581510000,287690000
6063000000,3505800000,2557200000,8199100000,4884100000,3315100000,6290700000,4179600000,2111100000
19523000000,13826000000,5697500000,27214000000,19044000000,8170000000,17884000000,12507000000,5376700000
45238000000,24246000000,20992000000,43362000000,23307000000,20055000000,36766000000,19650000000,17116000000
9187100000,5783300000,3403900000,7662100000,4685600000,2976500000,7693200000,4831600000,2861600000
148340000,85706000,62631000,312050000,278380000,33667000,264950000,235010000,29933000
210460000,206920000,3537100,186740000,178700000,8047000,187800000,174350000,13449000
10088000000,5563400000,4524800000,11004000000,6027700000,4976800000,8703800000,4829200000,3874600000
953040000,532730000,420310000,941050000,542510000,398540000,1124300000,599590000,524690000
673850000,399790000,274060000,709840000,395010000,314830000,771110000,509130000,261990000
16574000,11735000,4838700,11936000,5685300,6250700,27331000,18305000,9025800
105360000,72964000,32392000,135570000,79340000,56228000,72856000,47790000,25065000
4459000000,2496300000,1962600000,4422900000,2190200000,2232700000,5744800000,2896600000,2848100000
10546000000,5670000000,4875600000,10088000000,5399700000,4688400000,7416800000,4047200000,3369600000
2971000000,1558900000,1412100000,3094900000,1642800000,1452200000,2624400000,1377100000,1247300000
5217200000,2964300000,2252800000,3953200000,2179000000,1774200000,3668600000,2244100000,1424500000
1511300000,793790000,717560000,1845300000,969270000,876030000,1351500000,709770000,641730000
3462200000,2086000000,1376300000,3645800000,2212700000,1433100000,3220400000,2007700000,1212600000
2405900000,1570600000,835300000,2824200000,1678600000,1145600000,2338500000,1511900000,826620000
1571700000,923270000,648460000,1753900000,1016800000,737060000,2282700000,1481900000,800810000
839170000,519380000,319790000,670530000,419450000,251080000,619260000,389890000,229370000
0,0,0,10761000,7435100,3326200,66297000,52923000,13375000
237300000,137810000,99495000,729320000,310630000,418690000,358270000,240270000,118000000
62379000,33508000,28871000,52754000,37135000,15619000,125240000,66971000,58270000
139490000,86060000,53434000,23784000,17492000,6292100,46336000,35826000,10510000
881830000,450120000,431710000,886500000,450100000,436390000,570870000,303050000,267820000
283890000,170460000,113430000,438860000,297640000,141210000,125490000,78405000,47085000
43793000,27118000,16675000,274120000,172580000,101540000,242250000,154040000,88213000
163930000,82795000,81133000,125610000,82274000,43340000,108780000,43658000,65122000
188100000,118940000,69157000,132420000,94118000,38307000,198070000,108440000,89626000
5684300000,3646600000,2037800000,6042200000,3834700000,2207500000,5054300000,3311900000,1742500000
3371600000,3113200000,258350000,4067100000,3614200000,452870000,2200200000,1902500000,297740000
1478600000,890150000,588480000,1374400000,823950000,550460000,1594000000,750910000,843130000
1093800000,1062600000,31246000,1650400000,1624000000,26426000,932100000,911460000,20633000
14270000,14270000,0,84918000,71029000,13889000,42042000,23999000,18043000
1129400000,1034300000,95032000,690170000,643250000,46927000,826170000,754820000,71350000
444450000,253660000,190790000,729730000,369740000,359990000,594690000,354130000,240560000
285540000,137220000,148320000,474410000,198870000,275540000,54200000,20652000,33548000
133870000,65685000,68183000,234000000,104140000,129860000,158040000,83291000,74749000
44345000,23901000,20444000,61945000,27323000,34623000,59101000,25895000,33206000
8714200,6912500,1801700,119220000,116590000,2634800,10341000,8579600,1761200
2377600000,1981200000,396430000,2548500000,2284900000,263620000,2007700000,1626100000,381680000
147840000,83499000,64346000,131810000,78815000,52994000,88688000,41018000,47670000
113050000,72841000,40212000,49389000,39922000,9466800,38451000,36712000,1738500
59280000,41169000,18112000,133420000,92330000,41088000,41705000,26340000,15365000
972350000,594850000,377500000,1745700000,974710000,771000000,1521700000,921860000,599860000
131970000,81168000,50803000,49659000,29760000,19899000,86725000,51792000,34933000
71900000,46031000,25869000,0,0,0,38486000,30122000,8364100
312350000,183300000,129050000,465540000,296870000,168670000,463330000,275140000,188190000
218750000,111890000,106860000,36826000,27207000,9619600,127560000,70561000,57003000
8041500000,4448900000,3592600000,8155200000,4573600000,3581600000,8777400000,4781700000,3995800000
177250000,138630000,38623000,183930000,143400000,40535000,230170000,187670000,42496000
137630000,90190000,47436000,0,0,0,83254000,63945000,19309000
937460000,259080000,678380000,752950000,180490000,572460000,735590000,231100000,504490000
1472100000,717110000,754970000,2083000000,1118700000,964280000,1512400000,816210000,696220000
17585000000,9673100000,7911900000,15768000000,8727300000,7040400000,16239000000,8946300000,7293100000
1380200000,793820000,586330000,1650000000,960220000,689730000,1271600000,747890000,523740000
1537500000,911980000,625570000,1017200000,650050000,367170000,1393500000,787020000,606510000
2654500000,1362400000,1292100000,2561400000,1237300000,1324100000,2742100000,1479300000,1262700000
460780000,239240000,221540000,414110000,237970000,176140000,309360000,178860000,130500000
58666000,35429000,23237000,120640000,51109000,69533000,149090000,80018000,69069000
0,0,0,0,0,0,48821000,25479000,23342000
15243000,10382000,4861100,94037000,34090000,59946000,47796000,34384000,13413000
445260000,293600000,151660000,798520000,540230000,258290000,678600000,493560000,185040000
15885000,11234000,4651300,13883000,9229700,4653200,17152000,10123000,7028700
302960000,115030000,187930000,216660000,100310000,116360000,111990000,62684000,49310000
