Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
0.1003,0.0527,0.0048,ND,ND,ND
-0.0116,0.1145,-0.0329,ND,ND,ND
ND,ND,ND,0.0935,ND,ND
0.2424,0.0893,0.1832,-0.0015,0.0582,0.0412
0.1645,0.0098,-0.0701,ND,ND,ND
-0.0427,0.143,-0.0777,ND,ND,ND
ND,0.0228,ND,ND,ND,ND
ND,ND,ND,0.4258,0.0122,0.2367
0.2281,ND,0.0746,0.0671,0.1341,0.0583
ND,ND,ND,-0.0575,ND,-0.0431
ND,ND,ND,0.0125,-0.029,0.0601
0.2578,-0.0801,0.1073,0.2869,0.037,ND
ND,ND,ND,0.2198,ND,0.1855
0.1147,ND,ND,-0.0572,0.1875,-0.0749
ND,ND,ND,-0.1527,0.0641,ND
0.2402,-0.0805,0.1385,0.0896,0.0297,0.1247
ND,ND,ND,ND,0.3308,0.2634
ND,ND,ND,0.0332,ND,0.0562
ND,-0.1134,ND,-0.0176,0.2311,0.1835
0.2757,ND,0.0065,0.1748,0.2407,0.2144
0.0735,0.2072,-0.1912,ND,ND,ND
ND,ND,ND,0.098,0.0836,0.1038
0.0687,ND,0.0705,ND,0.1252,ND
-0.1739,0.1961,-0.1614,ND,ND,ND
0.2065,-0.0432,0.1754,0.1261,0.0552,0.1213
0.2974,0.0119,0.2013,0.0899,0.1451,0.1512
0.0488,0.2191,-0.3946,ND,ND,ND
-0.0379,0.2138,-0.0491,ND,ND,ND
0.1589,0.0047,0.1263,0.1057,-0.0115,0.1635
ND,ND,ND,ND,ND,0.2187
0.1404,0.2203,-0.0181,-0.108,0.1519,-0.0852
0.2065,0.1242,0.1817,ND,ND,0.2429
ND,0.2046,-0.0239,ND,ND,ND
0.1195,0.0256,0.076,ND,0.124,ND
ND,0.0265,ND,ND,ND,ND
-0.1597,0.1777,-0.0457,ND,ND,ND
0.0434,-0.0225,0.0007,0.0745,ND,-0.0377
ND,ND,0.8134,ND,ND,ND
ND,ND,ND,ND,0.1606,0.1308
0.2539,0.1578,0.1647,0.1456,0.091,ND
0.1254,0.1621,0.1059,ND,ND,0.0147
-0.0244,0.1728,-0.0927,ND,ND,ND
0.154,0.0662,0.135,0.1229,0.5458,-0.3052
0.2402,0.2015,0.0652,ND,ND,ND
0.2926,ND,0.0465,ND,ND,ND
ND,-0.0881,0.0969,ND,0.034,ND
0.2267,ND,ND,ND,ND,ND
ND,ND,ND,ND,-0.1425,ND
0.3129,ND,ND,ND,ND,ND
ND,0.3902,-0.0095,ND,ND,ND
0.0922,0.1717,0.0363,ND,ND,ND
0.0461,0.3359,-0.1388,ND,0.2032,ND
-0.2029,0.0794,-0.1204,ND,ND,ND
ND,ND,ND,0.6118,0.4161,ND
ND,0.1887,-0.076,ND,ND,ND
ND,ND,ND,-0.4957,0.4201,ND
ND,0.1207,ND,0.211,0.9739,ND
0.1462,0.1049,0.1615,0.1175,0.0358,0.217
0.1242,-0.0291,0.1487,ND,ND,0.0695
0.2987,ND,ND,0.0727,ND,ND
0.2616,0.0102,0.0912,ND,ND,ND
ND,ND,ND,ND,ND,ND
ND,ND,ND,0.0712,0.1614,0.1294
0.1842,0.01,0.1788,0.0758,0.0729,0.1115
ND,ND,ND,0.0094,0.3082,-0.1428
0.6505,ND,ND,ND,0.0248,ND
